ADM2_NAME,Age,Population,Age_Range,Age_From,Age_To,Gender
Bafata,A00_04B,12605.883963153094,00 to 04,0,4,All
Bafata,A00_04F,6186.500610429986,00 to 04,0,4,Female
Bafata,A00_04M,6419.383352723106,00 to 04,0,4,Male
Bafata,A05_09B,11175.87367230636,05 to 09,5,9,All
Bafata,A05_09F,5541.050331274218,05 to 09,5,9,Female
Bafata,A05_09M,5634.823341032144,05 to 09,5,9,Male
Bafata,A10_14B,8873.520803424053,10 to 14,10,14,All
Bafata,A10_14F,4418.17731846029,10 to 14,10,14,Female
Bafata,A10_14M,4455.343484963762,10 to 14,10,14,Male
Bafata,A15_19B,8257.171478854172,15 to 19,15,19,All
Bafata,A15_19F,4221.034352761625,15 to 19,15,19,Female
Bafata,A15_19M,4036.137126092547,15 to 19,15,19,Male
Bafata,A20_24B,6202.733022466529,20 to 24,20,24,All
Bafata,A20_24F,3373.530073174483,20 to 24,20,24,Female
Bafata,A20_24M,2829.2029492920465,20 to 24,20,24,Male
Bafata,A25_29B,5678.644907205225,25 to 29,25,29,All
Bafata,A25_29F,3163.758732448857,25 to 29,25,29,Female
Bafata,A25_29M,2514.886174756366,25 to 29,25,29,Male
Bafata,A30_34B,3611.154519936673,30 to 34,30,34,All
Bafata,A30_34F,2013.5242404098508,30 to 34,30,34,Female
Bafata,A30_34M,1597.6302795268225,30 to 34,30,34,Male
Bafata,A35_39B,3430.984735895124,35 to 39,35,39,All
Bafata,A35_39F,1897.0625596056573,35 to 39,35,39,Female
Bafata,A35_39M,1533.922176289467,35 to 39,35,39,Male
Bafata,A40_44B,2291.3174044620637,40 to 44,40,44,All
Bafata,A40_44F,1263.188290891267,40 to 44,40,44,Female
Bafata,A40_44M,1028.1291135707972,40 to 44,40,44,Male
Bafata,A45_49B,2220.214525653627,45 to 49,45,49,All
Bafata,A45_49F,1160.4073496996145,45 to 49,45,49,Female
Bafata,A45_49M,1059.8071759540126,45 to 49,45,49,Male
Bafata,A50_54B,1539.6510698214593,50 to 54,50,54,All
Bafata,A50_54F,801.20023782162,50 to 54,50,54,Female
Bafata,A50_54M,738.4508319998398,50 to 54,50,54,Male
Bafata,A55_59B,1270.3810842007995,55 to 59,55,59,All
Bafata,A55_59F,595.6383554383148,55 to 59,55,59,Female
Bafata,A55_59M,674.7427287624847,55 to 59,55,59,Male
Bafata,A60_64B,1006.056308163524,60 to 64,60,64,All
Bafata,A60_64F,488.6479559043418,60 to 64,60,64,Female
Bafata,A60_64M,517.4083522591823,60 to 64,60,64,Male
Bafata,A65PLUSB,2297.243058102479,65 and older,65,999,All
Bafata,A65PLUSF,1176.5436066785082,65 and older,65,999,Female
Bafata,A65PLUSM,1120.6994514239702,65 and older,65,999,Male
Bafata,A65_69B,783.636014577978,65 to 69,65,69,All
Bafata,A65_69F,376.04494524727517,65 to 69,65,69,Female
Bafata,A65_69M,407.5910693307029,65 to 69,65,69,Male
Bafata,A70PLUSB,1513.6070435245008,70 and older,70,999,All
Bafata,A70PLUSF,800.498661431233,70 and older,70,999,Female
Bafata,A70PLUSM,713.1083820932678,70 and older,70,999,Male
Bafata,A70_74B,541.4644572457908,70 to 74,70,74,All
Bafata,A70_74F,275.3687332267826,70 to 74,70,74,Female
Bafata,A70_74M,266.0957240190081,70 to 74,70,74,Male
Bafata,A75PLUSB,972.14258627871,75 and older,75,999,All
Bafata,A75PLUSF,525.1299282044505,75 and older,75,999,Female
Bafata,A75PLUSM,447.01265807425966,75 and older,75,999,Male
Bafata,A75_79B,408.6296545921823,75 to 79,75,79,All
Bafata,A75_79F,212.5776462871724,75 to 79,75,79,Female
Bafata,A75_79M,196.05200830500996,75 to 79,75,79,Male
Bafata,A80PLUSB,563.5129316865277,80 and older,80,999,All
Bafata,A80PLUSF,312.55228191727815,80 and older,80,999,Female
Bafata,A80PLUSM,250.9606497692496,80 and older,80,999,Male
Bafata,A80_84B,0.0,80 to 84,80,84,All
Bafata,A80_84F,0.0,80 to 84,80,84,Female
Bafata,A80_84M,0.0,80 to 84,80,84,Male
Bafata,A85PLUSB,0.0,85 and older,85,999,All
Bafata,A85PLUSF,0.0,85 and older,85,999,Female
Bafata,A85PLUSM,0.0,85 and older,85,999,Male
Bambadinca,A00_04B,5789.924260301214,00 to 04,0,4,All
Bambadinca,A00_04F,2840.8697489314063,00 to 04,0,4,Female
Bambadinca,A00_04M,2949.0545113698076,00 to 04,0,4,Male
Bambadinca,A05_09B,5133.104878409438,05 to 09,5,9,All
Bambadinca,A05_09F,2544.4759896870314,05 to 09,5,9,Female
Bambadinca,A05_09M,2588.6288887224077,05 to 09,5,9,Male
Bambadinca,A10_14B,4075.6252158653365,10 to 14,10,14,All
Bambadinca,A10_14F,2028.847498740704,10 to 14,10,14,Female
Bambadinca,A10_14M,2046.7777171246314,10 to 14,10,14,Male
Bambadinca,A15_19B,3792.513517328184,15 to 19,15,19,All
Bambadinca,A15_19F,1938.3185353193246,15 to 19,15,19,Female
Bambadinca,A15_19M,1854.1949820088603,15 to 19,15,19,Male
Bambadinca,A20_24B,2848.871981839955,20 to 24,20,24,All
Bambadinca,A20_24F,1549.1406427462766,20 to 24,20,24,Female
Bambadinca,A20_24M,1299.7313390936788,20 to 24,20,24,Male
Bambadinca,A25_29B,2608.147383336261,25 to 29,25,29,All
Bambadinca,A25_29F,1452.812670991855,25 to 29,25,29,Female
Bambadinca,A25_29M,1155.334712344406,25 to 29,25,29,Male
Bambadinca,A30_34B,1658.5684736534806,30 to 34,30,34,All
Bambadinca,A30_34F,924.6196619906027,30 to 34,30,34,Female
Bambadinca,A30_34M,733.9488116628772,30 to 34,30,34,Male
Bambadinca,A35_39B,1575.8213287472574,35 to 39,35,39,All
Bambadinca,A35_39F,871.1399184747701,35 to 39,35,39,Female
Bambadinca,A35_39M,704.6814102724871,35 to 39,35,39,Male
Bambadinca,A40_44B,1052.3827978708384,40 to 44,40,44,All
Bambadinca,A40_44F,580.0619168690175,40 to 44,40,44,Female
Bambadinca,A40_44M,472.3208810018209,40 to 44,40,44,Male
Bambadinca,A45_49B,1019.7381649025513,45 to 49,45,49,All
Bambadinca,A45_49F,532.8644323806469,45 to 49,45,49,Female
Bambadinca,A45_49M,486.8737325219043,45 to 49,45,49,Male
Bambadinca,A50_54B,707.158000786729,50 to 54,50,54,All
Bambadinca,A50_54F,367.9148620185604,50 to 54,50,54,Female
Bambadinca,A50_54M,339.2431387681685,50 to 54,50,54,Male
Bambadinca,A55_59B,583.4956304195978,55 to 59,55,59,All
Bambadinca,A55_59F,273.51989304181944,55 to 59,55,59,Female
Bambadinca,A55_59M,309.9757373777784,55 to 59,55,59,Male
Bambadinca,A60_64B,462.0859806037986,60 to 64,60,64,All
Bambadinca,A60_64F,224.38940577576824,60 to 64,60,64,Female
Bambadinca,A60_64M,237.69657482803032,60 to 64,60,64,Male
Bambadinca,A65PLUSB,1055.1218234722655,65 and older,65,999,All
Bambadinca,A65PLUSF,540.2742763617564,65 and older,65,999,Female
Bambadinca,A65PLUSM,514.8475471105094,65 and older,65,999,Male
Bambadinca,A65_69B,359.92827103121704,65 to 69,65,69,All
Bambadinca,A65_69F,172.68158147280948,65 to 69,65,69,Female
Bambadinca,A65_69M,187.24668955840755,65 to 69,65,69,Male
Bambadinca,A70PLUSB,695.1935524410486,70 and older,70,999,All
Bambadinca,A70PLUSF,367.5926948889468,70 and older,70,999,Female
Bambadinca,A70PLUSM,327.6008575521017,70 and older,70,999,Male
Bambadinca,A70_74B,248.69455114198055,70 to 74,70,74,All
Bambadinca,A70_74F,126.45059837327929,70 to 74,70,74,Female
Bambadinca,A70_74M,122.2439527687013,70 to 74,70,74,Male
Bambadinca,A75PLUSB,446.49900129906797,75 and older,75,999,All
Bambadinca,A75PLUSF,241.14209651566762,75 and older,75,999,Female
Bambadinca,A75PLUSM,205.35690478340038,75 and older,75,999,Male
Bambadinca,A75_79B,187.68262134717,75 to 79,75,79,All
Bambadinca,A75_79F,97.61664027287549,75 to 79,75,79,Female
Bambadinca,A75_79M,90.06598107429448,75 to 79,75,79,Male
Bambadinca,A80PLUSB,258.81637995189806,80 and older,80,999,All
Bambadinca,A80PLUSF,143.52545624279216,80 and older,80,999,Female
Bambadinca,A80PLUSM,115.29092370910587,80 and older,80,999,Male
Bambadinca,A80_84B,0.0,80 to 84,80,84,All
Bambadinca,A80_84F,0.0,80 to 84,80,84,Female
Bambadinca,A80_84M,0.0,80 to 84,80,84,Male
Bambadinca,A85PLUSB,0.0,85 and older,85,999,All
Bambadinca,A85PLUSF,0.0,85 and older,85,999,Female
Bambadinca,A85PLUSM,0.0,85 and older,85,999,Male
Bedanda,A00_04B,3956.592454546148,00 to 04,0,4,All
Bedanda,A00_04F,1964.8263024955506,00 to 04,0,4,Female
Bedanda,A00_04M,1991.766152050597,00 to 04,0,4,Male
Bedanda,A05_09B,3762.264839655014,05 to 09,5,9,All
Bedanda,A05_09F,1817.8830101450446,05 to 09,5,9,Female
Bedanda,A05_09M,1944.3818295099695,05 to 09,5,9,Male
Bedanda,A10_14B,3048.552574171848,10 to 14,10,14,All
Bedanda,A10_14F,1468.0823417738957,10 to 14,10,14,Female
Bedanda,A10_14M,1580.4702323979525,10 to 14,10,14,Male
Bedanda,A15_19B,2642.418957088065,15 to 19,15,19,All
Bedanda,A15_19F,1348.420800392877,15 to 19,15,19,Female
Bedanda,A15_19M,1293.998156695188,15 to 19,15,19,Male
Bedanda,A20_24B,2208.6462103954723,20 to 24,20,24,All
Bedanda,A20_24F,1237.4029820913001,20 to 24,20,24,Female
Bedanda,A20_24M,971.2432283041722,20 to 24,20,24,Male
Bedanda,A25_29B,2064.2477908330998,25 to 29,25,29,All
Bedanda,A25_29F,1157.988776298931,25 to 29,25,29,Female
Bedanda,A25_29M,906.2590145341693,25 to 29,25,29,Male
Bedanda,A30_34B,1371.8201512442286,30 to 34,30,34,All
Bedanda,A30_34F,739.8486723309476,30 to 34,30,34,Female
Bedanda,A30_34M,631.9714789132807,30 to 34,30,34,Male
Bedanda,A35_39B,1277.4368868814227,35 to 39,35,39,All
Bedanda,A35_39F,692.3081953940193,35 to 39,35,39,Female
Bedanda,A35_39M,585.1286914874034,35 to 39,35,39,Male
Bedanda,A40_44B,880.1651486098077,40 to 44,40,44,All
Bedanda,A40_44F,490.80140110453885,40 to 44,40,44,Female
Bedanda,A40_44M,389.36374750526886,40 to 44,40,44,Male
Bedanda,A45_49B,892.9048992404249,45 to 49,45,49,All
Bedanda,A45_49F,485.12895783365525,45 to 49,45,49,Female
Bedanda,A45_49M,407.7759414067698,45 to 49,45,49,Male
Bedanda,A50_54B,632.7788142737363,50 to 54,50,54,All
Bedanda,A50_54F,338.9960145218471,50 to 54,50,54,Female
Bedanda,A50_54M,293.7827997518893,50 to 54,50,54,Male
Bedanda,A55_59B,512.2385466840612,55 to 59,55,59,All
Bedanda,A55_59F,246.88634045654842,55 to 59,55,59,Female
Bedanda,A55_59M,265.35220622751285,55 to 59,55,59,Male
Bedanda,A60_64B,453.2392212554345,60 to 64,60,64,All
Bedanda,A60_64F,235.2713375685489,60 to 64,60,64,Female
