INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
#indicator+code,#country+code,#date+year,#indicator+value+num,,
200101,GNB,1970,704.93900,,
200101,GNB,1971,718.36400,,
200101,GNB,1972,732.52300,,
200101,GNB,1973,746.17300,,
200101,GNB,1974,757.67400,,
200101,GNB,1975,765.98900,,
200101,GNB,1976,770.42100,,
200101,GNB,1977,771.73700,,
200101,GNB,1978,772.14200,,
200101,GNB,1979,774.72600,,
200101,GNB,1980,781.67700,,
200101,GNB,1981,793.80600,,
200101,GNB,1982,810.40500,,
200101,GNB,1983,830.20700,,
200101,GNB,1984,851.27600,,
200101,GNB,1985,872.16300,,
200101,GNB,1986,892.52200,,
200101,GNB,1987,912.75400,,
200101,GNB,1988,933.04500,,
200101,GNB,1989,953.79000,,
200101,GNB,1990,975.26100,,
200101,GNB,1991,997.52200,,
200101,GNB,1992,1020.35000,,
200101,GNB,1993,1043.42300,,
200101,GNB,1994,1066.34600,,
200101,GNB,1995,1088.85400,,
200101,GNB,1996,1110.83300,,
200101,GNB,1997,1132.51000,,
200101,GNB,1998,1154.37100,,
200101,GNB,1999,1177.13100,,
200101,GNB,2000,1201.30100,,
200101,GNB,2001,1227.10600,,
200101,GNB,2002,1254.45300,,
200101,GNB,2003,1283.30500,,
200101,GNB,2004,1313.49200,,
200101,GNB,2005,1344.93000,,
200101,GNB,2006,1377.58100,,
200101,GNB,2007,1411.54300,,
200101,GNB,2008,1446.93600,,
200101,GNB,2009,1483.92100,,
200101,GNB,2010,1522.59900,,
200101,GNB,2011,1562.98900,,
200101,GNB,2012,1604.97900,,
200101,GNB,2013,1648.25500,,
200101,GNB,2014,1692.43700,,
200101,GNB,2015,1737.20200,,
200101,GNB,2016,1782.43800,,
200101,GNB,2017,1828.14500,,
200101,GNB,2018,1874.30300,,
200101,GNB,2019,1920.92200,,
200144,GNB,1970,130.86400,,
200144,GNB,1971,134.34500,,
200144,GNB,1972,137.99000,,
200144,GNB,1973,141.38800,,
200144,GNB,1974,144.00900,,
200144,GNB,1975,145.55500,,
200144,GNB,1976,146.60800,,
200144,GNB,1977,146.56700,,
200144,GNB,1978,145.92900,,
200144,GNB,1979,145.46700,,
200144,GNB,1980,145.70800,,
200144,GNB,1981,145.35700,,
200144,GNB,1982,146.06300,,
200144,GNB,1983,147.68100,,
200144,GNB,1984,150.01200,,
200144,GNB,1985,152.91600,,
200144,GNB,1986,155.55600,,
200144,GNB,1987,159.08300,,
200144,GNB,1988,163.38000,,
200144,GNB,1989,168.29300,,
200144,GNB,1990,173.75100,,
200144,GNB,1991,179.36700,,
200144,GNB,1992,185.47600,,
200144,GNB,1993,192.04900,,
200144,GNB,1994,199.09700,,
200144,GNB,1995,206.57200,,
200144,GNB,1996,213.37300,,
200144,GNB,1998,228.41900,,
200144,GNB,1999,236.32600,,
200144,GNB,2000,244.39200,,
200144,GNB,2001,251.49600,,
200144,GNB,2003,266.63400,,
200144,GNB,2004,274.50100,,
200144,GNB,2006,289.53300,,
200144,GNB,2007,296.59600,,
200144,GNB,2008,303.56800,,
200144,GNB,2009,310.50900,,
200144,GNB,2010,317.47100,,
200144,GNB,2011,323.73300,,
200144,GNB,2012,330.24300,,
200144,GNB,2013,336.92800,,
200144,GNB,2014,343.72100,,
200144,GNB,2015,350.62600,,
200144,GNB,2016,357.21200,,
200144,GNB,2017,364.04800,,
200144,GNB,2018,371.32900,,
200144,GNB,2019,379.33700,,
200151,GNB,1970,25.97400,,
200151,GNB,1971,26.90100,,
200151,GNB,1972,27.89100,,
200151,GNB,1973,28.86800,,
200151,GNB,1974,29.73300,,
200151,GNB,1975,30.43000,,
200151,GNB,1976,31.11100,,
200151,GNB,1977,31.41300,,
200151,GNB,1978,31.36800,,
200151,GNB,1979,31.02600,,
200151,GNB,1980,30.40100,,
200151,GNB,1981,30.80300,,
200151,GNB,1982,31.20000,,
200151,GNB,1983,31.54400,,
200151,GNB,1984,31.78600,,
200151,GNB,1985,31.88900,,
200151,GNB,1986,32.21200,,
200151,GNB,1987,32.44000,,
200151,GNB,1988,32.57300,,
200151,GNB,1989,32.62600,,
200151,GNB,1990,32.61300,,
200151,GNB,1991,33.02000,,
200151,GNB,1992,33.33800,,
200151,GNB,1993,33.56400,,
200151,GNB,1994,33.68800,,
200151,GNB,1995,33.70300,,
200151,GNB,1996,34.13700,,
200151,GNB,1997,34.49900,,
200151,GNB,1998,34.78500,,
200151,GNB,1999,34.98200,,
200151,GNB,2000,35.10800,,
200151,GNB,2001,35.56300,,
200151,GNB,2002,35.93800,,
200151,GNB,2003,36.28800,,
200151,GNB,2004,36.66700,,
200151,GNB,2005,37.10700,,
200151,GNB,2006,37.94800,,
200151,GNB,2007,38.84500,,
200151,GNB,2008,39.73200,,
200151,GNB,2009,40.52600,,
200151,GNB,2010,41.21100,,
200151,GNB,2011,42.21200,,
200151,GNB,2012,43.09500,,
200151,GNB,2013,43.97900,,
200151,GNB,2014,45.05200,,
200151,GNB,2015,46.40800,,
200151,GNB,2016,48.44400,,
200151,GNB,2017,50.66800,,
200151,GNB,2018,52.92500,,
200151,GNB,2019,55.00100,,
NY.GDP.MKTP.CN,GNB,2006,309467000000,,
ILO.POP.F.15+.000,GNB,2005,405,,
NY.GDP.MKTP.CD,GNB,1996,270419779.41811,,
