jmp_hyg_svclvl,jmp_hyg_avail,jmp_hyg_soap,jmp_waste_svclvl,jmp_waste_3bins,jmp_waste_sharps,jmp_waste_inf,jmp_wat_svclvl,jmp_wat_imp,jmp_wat_none,jmp_wat_dist,enum,status,rcode,hcf_mwaterid,hcf_type,reg_san,area_san,area_san_other,cont1_name,cont1_title,cont1_orng,cont1_mtn,cont2_name,cont2_title,cont2_orng,cont2_mtn,survey_date,staff_docs_all,Staffing of the health facility: Doctors - Number of male staff,Staffing of the health facility: Doctors - Number of female staff,Staffing of the health facility: Nurses - Total number of staff,Staffing of the health facility: Nurses - Number of male staff,Staffing of the health facility: Nurses - Number of female staff,Staffing of the health facility: Midwives - Total number of staff,Staffing of the health facility: Midwives - Number of male staff,Staffing of the health facility: Midwives - Number of female staff,Staffing of the health facility: Lab technicians - Total number of staff,Staffing of the health facility: Lab technicians - Number of male staff,Staffing of the health facility: Lab technicians - Number of female staff,Staffing of the health facility: Pharmacists - Total number of staff,Staffing of the health facility: Pharmacists - Number of male staff,Staffing of the health facility: Pharmacists - Number of female staff,Staffing of the health facility: Service staff - Total number of staff,Staffing of the health facility: Service staff - Number of male staff,Staffing of the health facility: Service staff - Number of female staff,Staffing of the health facility: Drivers - Total number of staff,Staffing of the health facility: Drivers - Number of male staff,Staffing of the health facility: Drivers - Number of female staff,Staffing of the health facility: Guards - Total number of staff,Staffing of the health facility: Guards - Number of male staff,Staffing of the health facility: Guards - Number of female staff,wp_mwaterid,wp_jmptype,watsys_exists,watsys_type,watsys_tank_cap,watsys_tank_type,wp_dist,water_available_today,watsys_taps,watsys_taps_total,watsys_taps_func,toilet_outpat,How many toilets are available for patients? ,How many toilets are available for patients?  (Asked),How many patient toilets are working? ,How many patient toilets are working?  (Asked),Are the patient toilets clean?,Are the patient toilets clean? (Asked),Is there a registry of cleaning at the patients toilet?,Is there a registry of cleaning at the patients toilet? (Asked),Are the patient toilets smelling?,Are the patient toilets smelling? (Asked),Are there flies in the patient toilets?,Are there flies in the patient toilets? (Asked),Are the patient toilets lit during the night?,Are the patient toilets lit during the night? (Asked),toilet_staff,How many toilets of any kind are available exclusively for staff? ,How many toilets of any kind are available exclusively for staff?  (Asked),How many staff toilets are working? ,How many staff toilets are working?  (Asked),toilet_mhm,"Is there at least one usable improved toilet designated for women and girls, which provides facilities to manage menstrual hygiene needs? (Asked)",toilet_hcap,Is there at least one usable improved toilet that meets the needs of people with reduced mobility? (Asked),Please take some photos of the latrines,handw_today_poc,handw_today_toilet,How many consultation rooms have a handwashing basin?,How many consultation rooms have a handwashing basin that works?,How many consultation rooms have a handwashing basin that works? (Asked),waste_3bins,waste_sharps,waste_infect,Is there an inicnerator at the center?,Is there an inicnerator at the center? (Other (please specify)) - specify,Please take a photo of the incinerator,Are cleaning protocols available?,Have all staff responsible for cleaning received training? ,Health facility > Unique ID,Community > Unique ID,Hygiene service level for health facility,Functional hand hygiene stations available at the selected point of care ,Handwashing facilities with soap and water available at toilets ,Health facility > Unique ID,Community > Unique ID,Healthcare waste service level for health facility,Is waste safely segregated into at least three labelled bins in the consultation area? ,Sharps waste disposal,How does this facility usually treat / dispose of infectious waste? ,Health facility > Unique ID,Sanitation facility > Unique ID,Community > Unique ID,jmp_san_svclvl,jmp_san_usable,jmp_san_mhm,jmp_san_staff,jmp_san_hcap,jmp_cln_svclvl,jmp_cln_prot,jmp_cln_staff,hcf_name,submitted_date,lat,lon
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ051,435943,Health Centre Type C,Bijagos,Orango Zinho,,,,966150414,,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,,Protected dug well,"Yes, but it does not work",Electrical pump (Grid/generator) from own waterpoint,1,Cement,,No ,"No, the tap inside does not give water",4,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,https://api.mwater.co/v3/images/ae093c3bf1fb44649f9052e2081c25bd; https://api.mwater.co/v3/images/abadfbe139c84c7aaeaa659d59d14fd2; https://api.mwater.co/v3/images/78e2b00bbe214c21ae361e346e1c9463,,Yes,0,,False,,,,No,,https://api.mwater.co/v3/images/955434b83e3b47899fab9a533658cab9; https://api.mwater.co/v3/images/95e06c9b95284db3958f4fbe111dd8d5,No,,435943,,Limited,,Yes,435943,,,,,,435943,,,No service,No,,Yes,,,No,,Orango Zinho,2018-08-03 14:27:42,11.16467,-15.92799
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ057,4703211,Health Centre Type C,Gabu,Bajocunda,,,,966645242,966701371,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,6356408,Protected dug well,"Yes, and it works",Solar pump from own waterpoint,5,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",8,6,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,2,True,2,True,,False,,False,,Yes,Yes,0,,False,Bins are present but don't meet all requirements,Open burning,Open burning,"Yes, but not working",,,No,,4703211,,Basic,Yes,Yes,4703211,,Limited,,Unsafe,Unsafe,4703211,,,No service,No,,Yes,,,No,,Bajocunda,2018-08-03 14:27:42,12.63719,-14.07723
,,,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ019,4703510,Health Centre Type C,Bafata,Tendinto,,,,966471697,,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,,Protected dug well,"Yes, but it does not work",Electrical pump (Grid/generator) from own waterpoint,1,Cement,,No ,"No, the tap inside does not give water",14,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,No,,False,,False,,False,,False,https://api.mwater.co/v3/images/f90e839f4188426585d6785eada74026; https://api.mwater.co/v3/images/45268d30a84241a0ac1c5b2b920e31e0; https://api.mwater.co/v3/images/9d53f798b0794ae69ba46f8deeeb60ba,,,1,0,True,,,,"Yes, but not working",,https://api.mwater.co/v3/images/94c11282ba3e40c6b0599abd86103569; https://api.mwater.co/v3/images/57dc96d35d274c63beff1d13db57ce34; https://api.mwater.co/v3/images/46f765617036451d8af06ed851730e4d,No,,4703510,,,,,4703510,,,,,,4703510,,,No service,No,,No,,,No,,Tendinto,2018-08-03 14:27:42,12.612249,-14.658464
Limited,,Yes,,,,,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ133,4704315,Health Centre Type C,Cacheu,Varela,,,,955276452,,,,,,2016-03-29,0,,,3,,,0,,,1,,,,,,1,,,,,,0,,,6357870,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PVC,On premises,"Yes, observed","Yes, water comes from at least one tap",26,18,"Yes, at least one usable improved toilet",1,True,1,True,Yes,True,No,True,No,True,No,True,No,True,No,,False,,False,,True,,True,,,Yes,1,1,True,,,,"Yes, in use",,,No,,4704315,,Limited,,Yes,4704315,,,,,,4704315,,,Limited,Yes,,No,,,No,,Varela,2018-08-03 14:27:42,12.29402,-16.5689
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ098,4703709,Regional Hospital,Biombo,Cumura,,,,,,,,,,2016-03-29,0,,,0,,,0,,,0,,,,,,0,,,,,,0,,,,Piped water inside Health Center,"Yes, and it works",Grid to overhead water tank,,,On premises,"Yes, observed","Yes, water comes from at least one tap",5,5,"Yes, at least one usable improved toilet",,True,,False,,True,,True,,True,,True,,True,Yes,,True,,False,Yes,True,No,True,,Yes,Yes,,,False,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4703709,,Basic,Yes,Yes,4703709,,Limited,,Unsafe,Unsafe,4703709,,,Limited,Yes,Yes,Yes,No,,No,,Cumura,2018-08-03 14:27:42,11.824444,-15.68
,,,,,,,No service,,True,,kingsley.chris,Final,Fredrik Asplund-6T99YZ119,4704401,Health Centre Type C,Quinara,Buba,,,,,,,,,,2016-03-29,0,,,0,,,0,,,0,,,,,,0,,,,,,0,,,,,No,,,,No water source available,No ,No taps inside,,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,No,,False,,False,,False,,False,,,,0,,False,,,,No,,,No,,4704401,,,,,4704401,,,,,,4704401,,,No service,No,,No,,,No,,Nhala,2018-08-03 14:27:42,11.62939,-14.89664
Limited,Yes,No,Limited,,Safe,Safe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ066,4703259,Health Centre Type C,Cacheu,Bara,,,,966028781,955265383,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,6374266,Tubewell / borehole,"Yes, but it does not work",Electrical pump (Grid/generator) from own waterpoint,4,Metal,On premises,No ,"No, the tap inside does not give water",15,,"No, improved toilets are present but not usable",1,True,0,True,No,True,,True,No,True,No,True,No,True,No,,False,,False,"No, there are no female-only toilets",True,No,True,,Yes,"No, no handwashing facilities are available",1,0,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,4703259,,Limited,Yes,No,4703259,,Limited,,Safe,Safe,4703259,,,Limited,No,No,No,No,,No,,Bara,2018-08-03 14:27:42,12.08759,-16.07263
,,No,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ013,4703802,Health Centre Type C,Cacheu,Co,,,,966415157,955995997,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6375913,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,6,Metal,,No ,"No, the tap inside does not give water",14,,"Yes, at least one usable improved toilet",1,True,1,True,Yes,True,No,True,No,True,No,True,No,True,No,,False,,False,,True,,True,https://api.mwater.co/v3/images/e9204f496b054006be2a475ea72f0cd6,,"No, no handwashing facilities are available",1,0,True,,,,No,,,No,,4703802,,,,No,4703802,,,,,,4703802,,,Limited,Yes,,No,,,No,,Co,2018-08-03 14:27:42,12.07972,-15.8105
No service,No,No,Limited,,Unsafe,Unsafe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ103,4703792,Health Centre Type B,Quinara,Fulacunda,,,,955830581,,,,,,2016-03-29,0,,,6,,,0,,,1,,,,,,2,,,,,,0,,,6393719,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,2,PEAD,On premises,No ,"No, the tap inside does not give water",0,,"Yes, at least one usable improved toilet",5,True,4,True,Yes,True,No,True,No,True,No,True,No,True,Yes,1,True,1,True,"No, female-only toilets do not have menstrual hygiene facilities",True,No,True,,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",1,1,True,Bins are present but don't meet all requirements,Open burning,Open burning,"Yes, but not working",,,No,,4703792,,No service,No,No,4703792,,Limited,,Unsafe,Unsafe,4703792,,,Limited,Yes,No,Yes,No,,No,,Fulacunda,2018-08-03 14:27:42,11.774489,-15.170188
No service,No,No,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ085,4703613,Health Centre Type C,Farim,Candjambari,,,,966642955,,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6364922,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PVC,On premises,"Yes, observed","Yes, water comes from at least one tap",5,2,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,No,,False,,False,,False,,False,,"No, hand hygiene stations are available but not functional, or lacking materials","No, handwashing facilities are available but not functional, or lacking soap and/or water",0,,False,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,4703613,,No service,No,No,4703613,,Limited,,Safe,Safe,4703613,,,No service,No,,No,,,No,,Candjambari,2018-08-03 14:27:42,12.48719,-15.01047
