Deployment,Enumerator,Status,Response Code,Drafted On,Submitted On,Approval Level,IP Address,cds_mwaterid,cds_type,cds_sanreg,cds_sanarea,cds_sanarea (other) - specify,contact - 1 - name,contact - 1 - title,contact - 1 - orng,contact - 1 - mtn,contact - 2 - name,contact - 2 - title,contact - 2 - orng,contact - 2 - mtn,survey_date,trans - bike - total,trans - bike - func,trans - bike - project,trans - car - total,trans - car - func,trans - car - project,trans - moto - total,trans - moto - func,trans - moto - project,trans - tuktuk - total,trans - tuktuk - func,trans - tuktuk - project,trans - ambul - total,trans - ambul - func,trans - ambul - project,generalstate,const_year,const_year (Don't Know),rehab - elec - year,rehab - elec - org,rehab - elec - org_other,rehab - bhole - year,rehab - bhole - org,rehab - bhole - org_other,rehab - pump - year,rehab - pump - org,rehab - pump - org_other,rehab - wtank - year,rehab - wtank - org,rehab - wtank - org_other,rehab - wsystem - year,rehab - wsystem - org,rehab - wsystem - org_other,rehab - incin - year,rehab - incin - org,rehab - incin - org_other,rehab - toilet - year,rehab - toilet - org,rehab - toilet - org_other,rehab - struct - year,rehab - struct - org,rehab - struct - org_other,rehab - roof - year,rehab - roof - org,rehab - roof - org_other,rehab - paint_ext - year,rehab - paint_ext - org,rehab - paint_ext - org_other,rehab - paint_int - year,rehab - paint_int - org,rehab - paint_int - org_other,rehab - res - year,rehab - res - org,rehab - res - org_other,room - wait - num,room - cons - num,room - mat - num,room - lab - num,room - stor - num,roof_type,roof_type (other) - specify,fence,cond - floor - state,cond - floor - needs,cond - wall - state,cond - wall - needs,cond - roof - state,cond - roof - needs,cond - door - state,cond - door - needs,cond - ceil - state,cond - ceil - needs,staffres,staffres_num,staffres_cond - floor - state,staffres_cond - floor - needs,staffres_cond - wall - state,staffres_cond - wall - needs,staffres_cond - roof - state,staffres_cond - roof - needs,staffres_cond - door - state,staffres_cond - door - needs,staffres_cond - ceil - state,staffres_cond - ceil - needs,staffres - water - pipewire,staffres - water - pipewire_func,staffres - water - taps_total,staffres - water - taps_func,staffres - elec - pipewire,staffres - elec - pipewire_func,staffres - elec - taps_total,staffres - elec - taps_func,energy_sys,energy_primsource,energy_source_backup,solar - panel - installed,solar - panel - num,solar - panel - cap,solar - batt - installed,solar - batt - num,solar - batt - cap,energy_light_total,energy_light_func,infra_pics
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,436009,Health Centre Type C,Bijagos,Caravela,,,,966436036,,,,,,2016-03-29,0,0,,0,0,,0,0,,2,2,,,,,Poor,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,No,Bad,,Bad,,Bad,,Bad,,Bad,,Yes,1,Bad,,Bad,,Bad,,Bad,,Bad,,No,No,,,No,No,,,No,,,,,,,,,,,https://api.mwater.co/v3/images/bb5b2581c5e940a295a5414a3cfd6f12; https://api.mwater.co/v3/images/6aeff3579cad46be91bee8aed48b6447; https://api.mwater.co/v3/images/2f61dd21e68b4bdc85df418b31d2b0cb; https://api.mwater.co/v3/images/7b263e9bc24847388b39f2095d41cdaf; https://api.mwater.co/v3/images/eaaf039afc4d4a2ea374ad58e1bee77c
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704298,Health Centre Type A,Quinara,Tite,,,,966960621,955161673,,,,,2016-03-29,0,0,,0,0,,5,2,,1,1,,,,,Good,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,,Yes,Good,,Good,,Good,,Good,,Good,,Yes,2,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Solar,Generator,,,,,,,10,10,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703297,Health Centre Type C,SAB,Belem,,,,96662888,955408888,,,,,2016-03-29,2,2,,0,0,,0,0,,0,0,,,,,Poor,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,0,0,,,Yes,Bad,,Bad,,Bad,,Bad,,Bad,,No,,,,,,,,,,,,,,,,,,,,Yes,Grid,Solar,,,,,,,19,10,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703723,Health Centre Type C,SAB,Cuntum,,,,966878733,955207949,,,,,2016-03-29,0,0,,0,0,,1,0,,0,0,,,,,Poor,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,No,Bad,,Reasonable,,Good,,Bad,,Good,,No,,,,,,,,,,,,,,,,,,,,Yes,Grid,Solar,,,,,,,11,11,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704243,Maternal/Child Health Clinic,SAB,Cmi,,,,969278384,955830405,,,,,2019-11-04,0,0,,4,4,,0,0,,0,0,,,,,Good,1940,,,,,,,,,,,,,,2019-01-01,UNICEF,,,,,2019-01-01,UNICEF,,,,,,,,,,,2019-01-01,UNICEF,,,,,9,9,1,3,1,Ceramic tiles,,Yes,Good,,Good,,Good,,Good,,Good,,Yes,1,Good,,Good,,Good,,Reasonable,,Reasonable,,Yes,Yes,,,Yes,Yes,,,Yes,Grid,Generator,,,,,,,,,https://api.mwater.co/v3/images/a1ce8bbd9ae94a1bad28f702aab03ff3; https://api.mwater.co/v3/images/ddd8db8dcdce4f6ab8bcd9c348c8adbe
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704346,Maternal/Child Health Clinic,Cacheu,Canchungo,,,,966637080,,,,,,2016-03-29,0,0,,0,0,,0,0,,0,0,,,,,Poor,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,,,No,Reasonable,,Bad,,Bad,,Reasonable,,Bad,,No,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703840,Health Centre Type C,Oio,Ga-Mamudo,,,,,955427832,,,,,2016-03-29,0,0,,0,0,,1,0,,0,0,,,,,Good,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,,,Yes,Good,,Good,,Good,,Good,,Good,,Yes,2,Good,,Good,,Good,,Good,,Good,,No,No,,,Yes,Yes,,,Yes,Solar,None,,,,,,,12,12,https://api.mwater.co/v3/images/6e4590bff4764dfa95fbc8f262f7b050; https://api.mwater.co/v3/images/923948c184b44b5193e890d990cdf7b8; https://api.mwater.co/v3/images/8aee04ac77074a8097609ab3ebc0a7f4; https://api.mwater.co/v3/images/4fc340fd896e49b9890000ebf8e66a61
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703709,Regional Hospital,Biombo,Cumura,,,,,,,,,,2016-03-29,0,0,,0,0,,0,0,,0,0,,,,,Good,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,Grid,,,,,,,,0,,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,436092,Health Centre Type C,Gabu,Dara,,,,966770084,,,,,,2016-03-29,0,0,,0,0,,1,1,,1,1,,,,,Good,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,,,Yes,Good,,Good,,Good,,Good,,Good,,No,,,,,,,,,,,,,,,,,,,,"Yes, but it does not work",Solar,None,,,,,,,10,5,https://api.mwater.co/v3/images/7423839cfc06449dab629debb4ff45cb; https://api.mwater.co/v3/images/85ea964004b24c8db1090216abf2cbf7; https://api.mwater.co/v3/images/4bed937a521b4161a3a76061dfb8bdeb; https://api.mwater.co/v3/images/2c4a949149b54e559d4a6b5f739a79b5; https://api.mwater.co/v3/images/cee5f6185f4145efa6945f9efec07010
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703321,Health Centre Type C,Biombo,Bijimita,,,,966709711,,,,,,2016-03-29,0,0,,0,0,,1,0,,0,0,,,,,Poor,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,,,No,Bad,,Bad,,Reasonable,,Reasonable,,Reasonable,,Yes,1,Bad,,Reasonable,,Good,,Bad,,Bad,,No,No,,,Yes,Yes,,,Yes,Solar,None,,,,,,,4,4,
