JMP WASH in HCF,Old Question Name
deployment,Deployment
enum,Enumerator
status,Status
code,Response Code
drafted,Drafted On
submitted on,Submitted On
,Approval Level
,IP Address
cds_mwaterid,Nome do Centro de Saude 
cds_type,Tipo de Centro de Saude
cds_sanreg,Favor Escolha a região Sanitaria
cds_sanarea,Area sanitaria
cds_sanarea (other) - specify,Area sanitaria (Other (please specify)) - specify
contact - 1 - name,pessoa de contacto: Contacto 1 - 
contact - 1 - title,pessoa de contacto: Contacto 1 - Title
contact - 1 - orng,pessoa de contacto: Contacto 1 - Telephone 1
contact - 1 - mtn,pessoa de contacto: Contacto 1 - Telephone 2
contact - 2 - name,pessoa de contacto: Contacto 2 - 
contact - 2 - title,pessoa de contacto: Contacto 2 - Title
contact - 2 - orng,pessoa de contacto: Contacto 2 - Telephone 1
contact - 2 - mtn,pessoa de contacto: Contacto 2 - Telephone 2
,pessoa de contacto (Don't Know)
survey_date,Qual a data do inquerito?
,Qual a data do inquerito? (Don't Know)
,Which survey?
,Which survey? (Don't Know)
,"When you open a tap in the center, does water come out?"
,"When you open a tap in the center, does water come out? (Other (please specify)) - specify"
,"When you open a tap in the center, does water come out? (Don't Know)"
,"When you flick a switch a switch in the center, does a light light up?"
,"When you flick a switch a switch in the center, does a light light up? (Other (please specify)) - specify"
,"When you flick a switch a switch in the center, does a light light up? (Don't Know)"
staff - doc - all,Staffing of the health facility: Doctors - Total number of staff
staff - doc - male,Staffing of the health facility: Doctors - Number of male staff
staff - doc - fem,Staffing of the health facility: Doctors - Number of female staff
staff - nurse - all,Staffing of the health facility: Nurses - Total number of staff
staff - nurse - male,Staffing of the health facility: Nurses - Number of male staff
staff - nurse - fem,Staffing of the health facility: Nurses - Number of female staff
staff - midwife - all,Staffing of the health facility: Midwives - Total number of staff
staff - midwife - male,Staffing of the health facility: Midwives - Number of male staff
staff - midwife - fem,Staffing of the health facility: Midwives - Number of female staff
staff - labtech - all,Staffing of the health facility: Lab technicians - Total number of staff
staff - labtech - male,Staffing of the health facility: Lab technicians - Number of male staff
staff - labtech - fem,Staffing of the health facility: Lab technicians - Number of female staff
staff - pharma - all,Staffing of the health facility: Pharmacists - Total number of staff
