CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,RowcaCode1,RowcaCode2,HRname,HRpcode,HRparent,lat,lon
Guinea Bissau,GNB,Bafata,GNB001,Bambadinca,GNB001002,GNB001,GNB001002,Bambadinca,GW001002,GW001,12.033333,-14.86667
Guinea Bissau,GNB,Tombali,GNB009,Bedanda,GNB009001,GNB009,GNB009001,Bedanda,GW009001,GW009,11.35,-15.116667
Guinea Bissau,GNB,Cacheu,GNB004,Bigene,GNB004001,GNB004,GNB004001,Bigene,GW004001,GW004,12.44,-15.541667
Guinea Bissau,GNB,Bissau,GNB008,Sector Autonomo de Bissau,GNB008000,GNB008,GNB008000,Sector Autonomo de Bissau,GW008000,GW008,11.85,-15.566667
Guinea Bissau,GNB,Oio,GNB006,Nhacra,GNB006005,GNB006,GNB006005,Nhacra,GW006005,GW006,11.966667,-15.55
Guinea Bissau,GNB,Oio,GNB006,Bissora,GNB006001,GNB006,GNB006001,Bissora,GW006001,GW006,12.04,-15.428056
Guinea Bissau,GNB,Gabu,GNB005,Boe,GNB005001,GNB005,GNB005001,Boe,GW005001,GW005,11.75,-14.216667
Guinea Bissau,GNB,Quinara,GNB007,Buba,GNB007001,GNB007,GNB007001,Buba,GW007001,GW007,11.583333,-15
Guinea Bissau,GNB,Cacheu,GNB004,Bula,GNB004002,GNB004,GNB004002,Bula,GW004002,GW004,12.103889,-15.708056
Guinea Bissau,GNB,Cacheu,GNB004,Cacheu/Calequisse,GNB004003,GNB004,GNB004003,Cacheu/Calequisse,GW004003,GW004,12.266667,-16.166667
Guinea Bissau,GNB,Tombali,GNB009,Cacine,GNB009002,GNB009,GNB009002,Cacine,GW009002,GW009,11.116667,-15.016667
Guinea Bissau,GNB,Cacheu,GNB004,Caio,GNB004004,GNB004,GNB004004,Caio,GW004004,GW004,11.927778,-16.202778
Guinea Bissau,GNB,Cacheu,GNB004,Canchungo,GNB004005,GNB004,GNB004005,Canchungo,GW004005,GW004,12.444167,-15.866944
Guinea Bissau,GNB,Oio,GNB006,Mansaba,GNB006003,GNB006,GNB006003,Mansaba,GW006003,GW006,12.291944,-15.182778
Guinea Bissau,GNB,Bafata,GNB001,Contuboel,GNB001003,GNB001,GNB001003,Contuboel,GW001003,GW001,12.366667,-14.566667
Guinea Bissau,GNB,Quinara,GNB007,Empada,GNB007002,GNB007,GNB007002,Empada,GW007002,GW007,11.55,-15.233333
Guinea Bissau,GNB,Oio,GNB006,Farim,GNB006002,GNB006,GNB006002,Farim,GW006002,GW006,12.483333,-15.216667
Guinea Bissau,GNB,Quinara,GNB007,Fulacunda,GNB007003,GNB007,GNB007003,Fulacunda,GW007003,GW007,11.433333,-15.416667
Guinea Bissau,GNB,Gabu,GNB005,Gabu,GNB005002,GNB005,GNB005002,Gabu,GW005002,GW005,12.283333,-14.216667
Guinea Bissau,GNB,Bafata,GNB001,Gamamudo/Ganadu,GNB001005,GNB001,GNB001005,Gamamudo/Ganadu,GW001005,GW001,12.266667,-14.733333
Guinea Bissau,GNB,Oio,GNB006,Mansoa,GNB006004,GNB006,GNB006004,Mansoa,GW006004,GW006,12.066667,-15.316667
Guinea Bissau,GNB,Gabu,GNB005,Pirada,GNB005003,GNB005,GNB005003,Pirada,GW005003,GW005,12.666667,-14.166667
Guinea Bissau,GNB,Gabu,GNB005,Pitche,GNB005004,GNB005,GNB005004,Pitche,GW005004,GW005,12.333333,-13.95
Guinea Bissau,GNB,Biombo,GNB002,Prabis,GNB002002,GNB002,GNB002002,Prabis,GW002002,GW002,11.8,-15.9
Guinea Bissau,GNB,Tombali,GNB009,Quebo,GNB009004,GNB009,GNB009004,Quebo,GW009004,GW009,11.333333,-14.933333
Guinea Bissau,GNB,Biombo,GNB002,Quinhamel,GNB002001,GNB002,GNB002001,Quinhamel,GW002001,GW002,11.883333,-15.85
Guinea Bissau,GNB,Biombo,GNB002,Safim,GNB002003,GNB002,GNB002003,Safim,GW002003,GW002,11.95,-15.65
Guinea Bissau,GNB,Cacheu,GNB004,Sao Domingos,GNB004006,GNB004,GNB004006,Sao Domingos,GW004006,GW004,12.401944,-16.200556
Guinea Bissau,GNB,Gabu,GNB005,Sonaco,GNB005005,GNB005,GNB005005,Sonaco,GW005005,GW005,12.4,-14.483333
Guinea Bissau,GNB,Bafata,GNB001,Xitole,GNB001006,GNB001,GNB001006,Xitole,GW001006,GW001,11.733333,-14.816667
Guinea Bissau,GNB,Tombali,GNB009,Catio,GNB009003,GNB009,GNB009003,Catio,GW009003,GW009,11.283333,-15.25
Guinea Bissau,GNB,Tombali,GNB009,Komo,GNB009005,GNB009,GNB009005,Komo,GW009005,GW009,11.216667,-15.183333
Guinea Bissau,GNB,Bafata,GNB001,Bafata,GNB001001,GNB001,GNB001001,Bafata,GW001001,GW001,12.171944,-14.6575
Guinea Bissau,GNB,Bafata,GNB001,Galomaro/Cosse,GNB001004,GNB001,GNB001004,Galomaro/Cosse,GW001004,GW001,11.94733,-14.64069
Guinea Bissau,GNB,Quinara,GNB007,Tite,GNB007004,GNB007,GNB007004,Tite,GW007004,GW007,11.783333,-15.4
Guinea Bissau,GNB,Bolama/Bijagos,GNB003,Caravela,GNB003003,GNB003,GNB003003,Caravela,GW003003,GW003,11.566667,-16.266667
Guinea Bissau,GNB,Bolama/Bijagos,GNB003,Uno,GNB003004,GNB003,GNB003004,Uno,GW003004,GW003,11.10295,-16.15265
Guinea Bissau,GNB,Bolama/Bijagos,GNB003,Bubaque,GNB003002,GNB003,GNB003002,Bubaque,GW003002,GW003,11.283333,-15.833333
Guinea Bissau,GNB,Bolama/Bijagos,GNB003,Bolama,GNB003001,GNB003,GNB003001,Bolama,GW003001,GW003,11.583333,-15.466667
