Region, Sector, DN
Bafata, Bafata, 13
Bafata, Bambadinca, 20
Bafata, Contuboel, 7
Bafata, Galomaro,
Bafata, Gamamundo, 14
Bafata, Xitole,
Biombo, Prabis,
Biombo, Quinhamel, 19
Biombo, Safim, 17
Bissau, Bissau, 24
Bolama, Bolama,
Bolama, Bubaque,
Bolama, Caravela,
Bolama, Uno,
Cacheu, Bigene, 4
Cacheu, Bula, 9
Cacheu, Cacheu, 8
Cacheu, Caio, 16
Cacheu, Canghungo, 10
Cacheu, São Domingos, 6
Gabú, Boe, 21
Gabú, Gabú,
Gabú, Piche, 12
Gabú, Pirada, 3
Gabú, Sonaco, 11
Oio, Bissorã, 5
Oio, Farim, 2
Oio, Mansaba, 1
Oio, Mansôa, 15
Oio, Nhacra, 18
Quinara, Buba,
Quinara, Empada,
Quinara, Fulacunda, 22
Quinara, Tite, 23
Tombali, Bedanda,
Tombali, Cacine,
Tombali, Catió,
Tombali, Quebo,
Tombali, Komo,
